@relation .a/sonar/sonar
@attribute 0.0200 real [0.0015, 0.1371]
@attribute 0.0371 real [6.0E-4, 0.2339]
@attribute 0.0428 real [0.0015, 0.3059]
@attribute 0.0207 real [0.0058, 0.4264]
@attribute 0.0954 real [0.0067, 0.401]
@attribute 0.0986 real [0.0102, 0.3823]
@attribute 0.1539 real [0.0033, 0.3729]
@attribute 0.1601 real [0.0055, 0.459]
@attribute 0.3109 real [0.0075, 0.6828]
@attribute 0.2111 real [0.0113, 0.7106]
@attribute 0.1609 real [0.0289, 0.7342]
@attribute 0.1582 real [0.0236, 0.706]
@attribute 0.2238 real [0.0184, 0.7131]
@attribute 0.0645 real [0.0273, 0.997]
@attribute 0.0660 real [0.0031, 1.0]
@attribute 0.2273 real [0.0162, 0.9988]
@attribute 0.3100 real [0.0349, 1.0]
@attribute 0.2999 real [0.0375, 1.0]
@attribute 0.5078 real [0.0494, 1.0]
@attribute 0.4797 real [0.0656, 1.0]
@attribute 0.5783 real [0.0512, 1.0]
@attribute 0.5071 real [0.0219, 1.0]
@attribute 0.4328 real [0.0563, 1.0]
@attribute 0.5550 real [0.0239, 1.0]
@attribute 0.6711 real [0.024, 1.0]
@attribute 0.6415 real [0.0921, 1.0]
@attribute 0.7104 real [0.0481, 1.0]
@attribute 0.8080 real [0.0284, 1.0]
@attribute 0.6791 real [0.0144, 1.0]
@attribute 0.3857 real [0.0613, 1.0]
@attribute 0.1307 real [0.0482, 0.9657]
@attribute 0.2604 real [0.0404, 0.9306]
@attribute 0.5121 real [0.0477, 1.0]
@attribute 0.7547 real [0.0212, 0.9647]
@attribute 0.8537 real [0.0223, 1.0]
@attribute 0.8507 real [0.008, 1.0]
@attribute 0.6692 real [0.0351, 0.9497]
@attribute 0.6097 real [0.0383, 1.0]
@attribute 0.4943 real [0.0371, 0.9857]
@attribute 0.2744 real [0.0117, 0.9297]
@attribute 0.0510 real [0.036, 0.8995]
@attribute 0.2834 real [0.0056, 0.8246]
@attribute 0.2825 real [0.0, 0.7733]
@attribute 0.4256 real [0.0, 0.7762]
@attribute 0.2641 real [0.0, 0.7034]
@attribute 0.1386 real [0.0, 0.7292]
@attribute 0.1051 real [0.0, 0.5522]
@attribute 0.1343 real [0.0, 0.3339]
@attribute 0.0383 real [0.0, 0.1981]
@attribute 0.0324 real [0.0, 0.0825]
@attribute 0.0232 real [0.0, 0.1004]
@attribute 0.0027 real [8.0E-4, 0.0709]
@attribute 0.0065 real [5.0E-4, 0.039]
@attribute 0.0159 real [0.001, 0.0352]
@attribute 0.0072 real [6.0E-4, 0.0447]
@attribute 0.0167 real [4.0E-4, 0.0394]
@attribute 0.0180 real [3.0E-4, 0.0355]
@attribute 0.0084 real [3.0E-4, 0.044]
@attribute 0.0090 real [1.0E-4, 0.0364]
@attribute 0.0032 real [6.0E-4, 0.0439]
@attribute R {R, M}
@inputs 0.0200, 0.0371, 0.0428, 0.0207, 0.0954, 0.0986, 0.1539, 0.1601, 0.3109, 0.2111, 0.1609, 0.1582, 0.2238, 0.0645, 0.0660, 0.2273, 0.3100, 0.2999, 0.5078, 0.4797, 0.5783, 0.5071, 0.4328, 0.5550, 0.6711, 0.6415, 0.7104, 0.8080, 0.6791, 0.3857, 0.1307, 0.2604, 0.5121, 0.7547, 0.8537, 0.8507, 0.6692, 0.6097, 0.4943, 0.2744, 0.0510, 0.2834, 0.2825, 0.4256, 0.2641, 0.1386, 0.1051, 0.1343, 0.0383, 0.0324, 0.0232, 0.0027, 0.0065, 0.0159, 0.0072, 0.0167, 0.0180, 0.0084, 0.0090, 0.0032
@outputs R
@data
0.0192, 0.0607, 0.0378, 0.0774, 0.1388, 0.0809, 0.0568, 0.0219, 0.1037, 0.1186, 0.1237, 0.1601, 0.352, 0.4479, 0.3769, 0.5761, 0.6426, 0.679, 0.7157, 0.5466, 0.5399, 0.6362, 0.7849, 0.7756, 0.578, 0.4862, 0.4181, 0.2457, 0.0716, 0.0613, 0.1816, 0.4493, 0.5976, 0.3785, 0.2495, 0.5771, 0.8852, 0.8409, 0.357, 0.3133, 0.6096, 0.6378, 0.2709, 0.1419, 0.126, 0.1288, 0.079, 0.0829, 0.052, 0.0216, 0.036, 0.0331, 0.0131, 0.012, 0.0108, 0.0024, 0.0045, 0.0037, 0.0112, 0.0075, R
0.0201, 0.0026, 0.0138, 0.0062, 0.0133, 0.0151, 0.0541, 0.021, 0.0505, 0.1097, 0.0841, 0.0942, 0.1204, 0.042, 0.0031, 0.0162, 0.0624, 0.2127, 0.3436, 0.3813, 0.3825, 0.4764, 0.6313, 0.7523, 0.8675, 0.8788, 0.7901, 0.8357, 0.9631, 0.9619, 0.9236, 0.8903, 0.9708, 0.9647, 0.7892, 0.5307, 0.2718, 0.1953, 0.1374, 0.3105, 0.379, 0.4105, 0.3355, 0.2998, 0.2748, 0.2024, 0.1043, 0.0453, 0.0337, 0.0122, 0.0072, 0.0108, 0.007, 0.0063, 0.003, 0.0011, 7.0E-4, 0.0024, 0.0057, 0.0044, R
0.01, 0.0275, 0.019, 0.0371, 0.0416, 0.0201, 0.0314, 0.0651, 0.1896, 0.2668, 0.3376, 0.3282, 0.2432, 0.1268, 0.1278, 0.4441, 0.6795, 0.7051, 0.7966, 0.9401, 0.9857, 0.8193, 0.5789, 0.6394, 0.7043, 0.6875, 0.4081, 0.1811, 0.2064, 0.3917, 0.3791, 0.2042, 0.2227, 0.3341, 0.3984, 0.5077, 0.5534, 0.3352, 0.2723, 0.2278, 0.2044, 0.1986, 0.0835, 0.0908, 0.138, 0.1948, 0.1211, 0.0843, 0.0589, 0.0247, 0.0118, 0.0088, 0.0104, 0.0036, 0.0088, 0.0047, 0.0117, 0.002, 0.0091, 0.0058, R
0.0211, 0.0319, 0.0415, 0.0286, 0.0121, 0.0438, 0.1299, 0.139, 0.0695, 0.0568, 0.0869, 0.1935, 0.1478, 0.1871, 0.1994, 0.3283, 0.6861, 0.5814, 0.25, 0.1734, 0.3363, 0.5588, 0.6592, 0.7012, 0.8099, 0.8901, 0.8745, 0.7887, 0.8725, 0.9376, 0.892, 0.7508, 0.6832, 0.761, 0.9017, 1.0, 0.9123, 0.7388, 0.5915, 0.4057, 0.3019, 0.2331, 0.2931, 0.2298, 0.2391, 0.191, 0.1096, 0.03, 0.0171, 0.0383, 0.0053, 0.009, 0.0042, 0.0153, 0.0106, 0.002, 0.0105, 0.0049, 0.007, 0.008, R
0.0308, 0.0339, 0.0202, 0.0889, 0.157, 0.175, 0.092, 0.1353, 0.1593, 0.2795, 0.3336, 0.294, 0.1608, 0.3335, 0.4985, 0.7295, 0.735, 0.8253, 0.8793, 0.9657, 1.0, 0.8707, 0.6471, 0.5973, 0.8218, 0.7755, 0.6111, 0.4195, 0.299, 0.1354, 0.2438, 0.5624, 0.5555, 0.6963, 0.7298, 0.7022, 0.5468, 0.1421, 0.4738, 0.641, 0.4375, 0.3178, 0.2377, 0.2808, 0.1374, 0.1136, 0.1034, 0.0688, 0.0422, 0.0117, 0.007, 0.0167, 0.0127, 0.0138, 0.009, 0.0051, 0.0029, 0.0122, 0.0056, 0.002, R
0.0225, 0.0019, 0.0075, 0.0097, 0.0445, 0.0906, 0.0889, 0.0655, 0.1624, 0.1452, 0.1442, 0.0948, 0.0618, 0.1641, 0.0708, 0.0844, 0.259, 0.2679, 0.3094, 0.4678, 0.5958, 0.7245, 0.8773, 0.9214, 0.9282, 0.9942, 1.0, 0.9071, 0.8545, 0.7293, 0.6499, 0.6071, 0.5588, 0.5967, 0.6275, 0.5459, 0.4786, 0.3965, 0.2087, 0.1651, 0.1836, 0.0652, 0.0758, 0.0486, 0.0353, 0.0297, 0.0241, 0.0379, 0.0119, 0.0073, 0.0051, 0.0034, 0.0129, 0.01, 0.0044, 0.0057, 0.003, 0.0035, 0.0021, 0.0027, R
0.0135, 0.0045, 0.0051, 0.0289, 0.0561, 0.0929, 0.1031, 0.0883, 0.1596, 0.1908, 0.1576, 0.1112, 0.1197, 0.1174, 0.1415, 0.2215, 0.2658, 0.2713, 0.3862, 0.5717, 0.6797, 0.8747, 1.0, 0.8948, 0.842, 0.9174, 0.9307, 0.905, 0.8228, 0.6986, 0.5831, 0.4924, 0.4563, 0.5159, 0.567, 0.5284, 0.5144, 0.3742, 0.2282, 0.1193, 0.1088, 0.0431, 0.107, 0.0583, 0.0046, 0.0473, 0.0408, 0.029, 0.0192, 0.0094, 0.0025, 0.0037, 0.0084, 0.0102, 0.0096, 0.0024, 0.0037, 0.0028, 0.003, 0.003, R
0.0071, 0.0103, 0.0135, 0.0494, 0.0253, 0.0806, 0.0701, 0.0738, 0.0117, 0.0898, 0.0289, 0.1554, 0.1437, 0.1035, 0.1424, 0.1227, 0.0892, 0.2047, 0.0827, 0.1524, 0.3031, 0.1608, 0.0667, 0.1426, 0.0395, 0.1653, 0.3399, 0.4855, 0.5206, 0.5508, 0.6102, 0.5989, 0.6764, 0.8897, 1.0, 0.9517, 0.8459, 0.7073, 0.6697, 0.6326, 0.5102, 0.4161, 0.2816, 0.1705, 0.1421, 0.0971, 0.0879, 0.0863, 0.0355, 0.0233, 0.0252, 0.0043, 0.0048, 0.0076, 0.0124, 0.0105, 0.0054, 0.0032, 0.0073, 0.0063, R
0.0239, 0.0189, 0.0466, 0.044, 0.0657, 0.0742, 0.138, 0.1099, 0.1384, 0.1376, 0.0938, 0.0259, 0.1499, 0.2851, 0.5743, 0.8278, 0.8669, 0.8131, 0.9045, 0.9046, 1.0, 0.9976, 0.9872, 0.9761, 0.9009, 0.9724, 0.9675, 0.7633, 0.4434, 0.3822, 0.4727, 0.4007, 0.3381, 0.3172, 0.2222, 0.0733, 0.2692, 0.1888, 0.0712, 0.1062, 0.0694, 0.03, 0.0893, 0.1459, 0.1348, 0.0391, 0.0546, 0.0469, 0.0201, 0.0095, 0.0155, 0.0091, 0.0151, 0.008, 0.0018, 0.0078, 0.0045, 0.0026, 0.0036, 0.0024, R
0.0365, 0.1632, 0.1636, 0.1421, 0.113, 0.1306, 0.2112, 0.2268, 0.2992, 0.3735, 0.3042, 0.0387, 0.2679, 0.5397, 0.6204, 0.7257, 0.835, 0.6888, 0.445, 0.3921, 0.5605, 0.7545, 0.8311, 1.0, 0.8762, 0.7092, 0.7009, 0.5014, 0.3942, 0.4456, 0.4072, 0.0773, 0.1423, 0.0401, 0.3597, 0.6847, 0.7076, 0.3597, 0.0612, 0.3027, 0.3966, 0.3868, 0.238, 0.2059, 0.2288, 0.1704, 0.1587, 0.1792, 0.1022, 0.0151, 0.0223, 0.011, 0.0071, 0.0205, 0.0164, 0.0063, 0.0078, 0.0094, 0.011, 0.0068, R
0.1313, 0.2339, 0.3059, 0.4264, 0.401, 0.1791, 0.1853, 0.0055, 0.1929, 0.2231, 0.2907, 0.2259, 0.3136, 0.3302, 0.366, 0.3956, 0.4386, 0.467, 0.5255, 0.3735, 0.2243, 0.1973, 0.4337, 0.6532, 0.507, 0.2796, 0.4163, 0.595, 0.5242, 0.4178, 0.3714, 0.2375, 0.0863, 0.1437, 0.2896, 0.4577, 0.3725, 0.3372, 0.3803, 0.4181, 0.3603, 0.2711, 0.1653, 0.1951, 0.2811, 0.2246, 0.1921, 0.15, 0.0665, 0.0193, 0.0156, 0.0362, 0.021, 0.0154, 0.018, 0.0013, 0.0106, 0.0127, 0.0178, 0.0231, M
0.027, 0.0163, 0.0341, 0.0247, 0.0822, 0.1256, 0.1323, 0.1584, 0.2017, 0.2122, 0.221, 0.2399, 0.2964, 0.4061, 0.5095, 0.5512, 0.6613, 0.6804, 0.652, 0.6788, 0.7811, 0.8369, 0.8969, 0.9856, 1.0, 0.9395, 0.8917, 0.8105, 0.6828, 0.5572, 0.4301, 0.3339, 0.2035, 0.0798, 0.0809, 0.1525, 0.2626, 0.2456, 0.198, 0.2412, 0.2409, 0.1901, 0.2077, 0.1767, 0.1119, 0.0779, 0.1344, 0.096, 0.0598, 0.033, 0.0197, 0.0189, 0.0204, 0.0085, 0.0043, 0.0092, 0.0138, 0.0094, 0.0105, 0.0093, M
0.1371, 0.1226, 0.1385, 0.1484, 0.1776, 0.1428, 0.1773, 0.2161, 0.163, 0.2067, 0.4257, 0.5484, 0.7131, 0.7003, 0.6777, 0.7939, 0.9382, 0.8925, 0.9146, 0.7832, 0.796, 0.7983, 0.7716, 0.6615, 0.486, 0.5572, 0.4697, 0.564, 0.4517, 0.3369, 0.2684, 0.2339, 0.3052, 0.3016, 0.2753, 0.1041, 0.1757, 0.3156, 0.3603, 0.2736, 0.1301, 0.2458, 0.3404, 0.1753, 0.0679, 0.1062, 0.0643, 0.0532, 0.0531, 0.0272, 0.0171, 0.0118, 0.0129, 0.0344, 0.0065, 0.0067, 0.0022, 0.0079, 0.0146, 0.0051, M
0.0968, 0.0821, 0.0629, 0.0608, 0.0617, 0.1207, 0.0944, 0.4223, 0.5744, 0.5025, 0.3488, 0.17, 0.2076, 0.3087, 0.4224, 0.5312, 0.2436, 0.1884, 0.1908, 0.8321, 1.0, 0.4076, 0.096, 0.1928, 0.2419, 0.379, 0.2893, 0.3451, 0.3777, 0.5213, 0.2316, 0.3335, 0.4781, 0.6116, 0.6705, 0.7375, 0.7356, 0.7792, 0.6788, 0.5259, 0.2762, 0.1545, 0.2019, 0.2231, 0.4221, 0.3067, 0.1329, 0.1349, 0.1057, 0.0499, 0.0206, 0.0073, 0.0081, 0.0303, 0.019, 0.0212, 0.0126, 0.0201, 0.021, 0.0041, M
0.0231, 0.0315, 0.017, 0.0226, 0.041, 0.0116, 0.0223, 0.0805, 0.2365, 0.2461, 0.2245, 0.152, 0.1732, 0.3099, 0.438, 0.5595, 0.682, 0.6164, 0.6803, 0.8435, 0.9921, 1.0, 0.7983, 0.5426, 0.3952, 0.5179, 0.565, 0.3042, 0.1881, 0.396, 0.2286, 0.3544, 0.4187, 0.2398, 0.1847, 0.376, 0.4331, 0.3626, 0.2519, 0.187, 0.1046, 0.2339, 0.1991, 0.11, 0.0684, 0.0303, 0.0674, 0.0785, 0.0455, 0.0246, 0.0151, 0.0125, 0.0036, 0.0123, 0.0043, 0.0114, 0.0052, 0.0091, 8.0E-4, 0.0092, M
0.0258, 0.0433, 0.0547, 0.0681, 0.0784, 0.125, 0.1296, 0.1729, 0.2794, 0.2954, 0.2506, 0.2601, 0.2249, 0.2115, 0.127, 0.1193, 0.1794, 0.2185, 0.1646, 0.074, 0.0625, 0.2381, 0.4824, 0.6372, 0.7531, 0.8959, 0.9941, 0.9957, 0.9328, 0.9344, 0.8854, 0.769, 0.6865, 0.639, 0.6378, 0.6629, 0.5983, 0.4565, 0.3129, 0.4158, 0.4325, 0.4031, 0.4201, 0.4557, 0.3955, 0.2966, 0.2095, 0.1558, 0.0884, 0.0265, 0.0121, 0.0091, 0.0062, 0.0019, 0.0045, 0.0079, 0.0031, 0.0063, 0.0048, 0.005, M
0.0015, 0.0186, 0.0289, 0.0195, 0.0515, 0.0817, 0.1005, 0.0124, 0.1168, 0.1476, 0.2118, 0.2575, 0.2354, 0.1334, 0.0092, 0.1951, 0.3685, 0.4646, 0.5418, 0.626, 0.742, 0.8257, 0.8609, 0.84, 0.8949, 0.9945, 1.0, 0.9649, 0.8747, 0.6257, 0.2184, 0.2945, 0.3645, 0.5012, 0.7843, 0.9361, 0.8195, 0.6207, 0.4513, 0.3004, 0.2674, 0.2241, 0.3141, 0.3693, 0.2986, 0.2226, 0.0849, 0.0359, 0.0289, 0.0122, 0.0045, 0.0108, 0.0075, 0.0089, 0.0036, 0.0029, 0.0013, 0.001, 0.0032, 0.0047, M
0.0635, 0.0709, 0.0453, 0.0333, 0.0185, 0.126, 0.1015, 0.1918, 0.3362, 0.39, 0.4674, 0.5632, 0.5506, 0.4343, 0.3052, 0.3492, 0.3975, 0.3875, 0.528, 0.7198, 0.7702, 0.8562, 0.8688, 0.9236, 1.0, 0.9662, 0.9822, 0.736, 0.4158, 0.2918, 0.328, 0.369, 0.345, 0.2863, 0.0864, 0.3724, 0.4649, 0.3488, 0.1817, 0.1142, 0.122, 0.2621, 0.4461, 0.4726, 0.3263, 0.1423, 0.039, 0.0406, 0.0311, 0.0086, 0.0154, 0.0048, 0.0025, 0.0087, 0.0072, 0.0095, 0.0086, 0.0085, 0.004, 0.0051, M
0.0209, 0.0191, 0.0411, 0.0321, 0.0698, 0.1579, 0.1438, 0.1402, 0.3048, 0.3914, 0.3504, 0.3669, 0.3943, 0.3311, 0.3331, 0.3002, 0.2324, 0.1381, 0.345, 0.4428, 0.489, 0.3677, 0.4379, 0.4864, 0.6207, 0.7256, 0.6624, 0.7689, 0.7981, 0.8577, 0.9273, 0.7009, 0.4851, 0.3409, 0.1406, 0.1147, 0.1433, 0.182, 0.3605, 0.5529, 0.5988, 0.5077, 0.5512, 0.5027, 0.7034, 0.5904, 0.4069, 0.2761, 0.1584, 0.051, 0.0054, 0.0078, 0.0201, 0.0104, 0.0039, 0.0031, 0.0062, 0.0087, 0.007, 0.0042, M
0.0392, 0.0108, 0.0267, 0.0257, 0.041, 0.0491, 0.1053, 0.169, 0.2105, 0.2471, 0.268, 0.3049, 0.2863, 0.2294, 0.1165, 0.2127, 0.2062, 0.2222, 0.3241, 0.433, 0.5071, 0.5944, 0.7078, 0.7641, 0.8878, 0.9711, 0.988, 0.9812, 0.9464, 0.8542, 0.6457, 0.3397, 0.3828, 0.3204, 0.1331, 0.044, 0.1234, 0.203, 0.1652, 0.1043, 0.1066, 0.211, 0.2417, 0.1631, 0.0769, 0.0723, 0.0912, 0.0812, 0.0496, 0.0101, 0.0089, 0.0083, 0.008, 0.0026, 0.0079, 0.0042, 0.0071, 0.0044, 0.0022, 0.0014, M
0.0131, 0.0387, 0.0329, 0.0078, 0.0721, 0.1341, 0.1626, 0.1902, 0.261, 0.3193, 0.3468, 0.3738, 0.3055, 0.1926, 0.1385, 0.2122, 0.2758, 0.4576, 0.6487, 0.7154, 0.801, 0.7924, 0.8793, 1.0, 0.9865, 0.9474, 0.9474, 0.9315, 0.8326, 0.6213, 0.3772, 0.2822, 0.2042, 0.219, 0.2223, 0.1327, 0.0521, 0.0618, 0.1416, 0.146, 0.0846, 0.1055, 0.1639, 0.1916, 0.2085, 0.2335, 0.1964, 0.13, 0.0633, 0.0183, 0.0137, 0.015, 0.0076, 0.0032, 0.0037, 0.0071, 0.004, 9.0E-4, 0.0015, 0.0085, M
