@relation .a/sonar/sonar
@attribute 0.0200 real [0.0015, 0.1371]
@attribute 0.0371 real [6.0E-4, 0.2339]
@attribute 0.0428 real [0.0015, 0.3059]
@attribute 0.0207 real [0.0058, 0.4264]
@attribute 0.0954 real [0.0067, 0.401]
@attribute 0.0986 real [0.0102, 0.3823]
@attribute 0.1539 real [0.0033, 0.3729]
@attribute 0.1601 real [0.0055, 0.459]
@attribute 0.3109 real [0.0075, 0.6828]
@attribute 0.2111 real [0.0113, 0.7106]
@attribute 0.1609 real [0.0289, 0.7342]
@attribute 0.1582 real [0.0236, 0.706]
@attribute 0.2238 real [0.0184, 0.7131]
@attribute 0.0645 real [0.0273, 0.997]
@attribute 0.0660 real [0.0031, 1.0]
@attribute 0.2273 real [0.0162, 0.9988]
@attribute 0.3100 real [0.0349, 1.0]
@attribute 0.2999 real [0.0375, 1.0]
@attribute 0.5078 real [0.0494, 1.0]
@attribute 0.4797 real [0.0656, 1.0]
@attribute 0.5783 real [0.0512, 1.0]
@attribute 0.5071 real [0.0219, 1.0]
@attribute 0.4328 real [0.0563, 1.0]
@attribute 0.5550 real [0.0239, 1.0]
@attribute 0.6711 real [0.024, 1.0]
@attribute 0.6415 real [0.0921, 1.0]
@attribute 0.7104 real [0.0481, 1.0]
@attribute 0.8080 real [0.0284, 1.0]
@attribute 0.6791 real [0.0144, 1.0]
@attribute 0.3857 real [0.0613, 1.0]
@attribute 0.1307 real [0.0482, 0.9657]
@attribute 0.2604 real [0.0404, 0.9306]
@attribute 0.5121 real [0.0477, 1.0]
@attribute 0.7547 real [0.0212, 0.9647]
@attribute 0.8537 real [0.0223, 1.0]
@attribute 0.8507 real [0.008, 1.0]
@attribute 0.6692 real [0.0351, 0.9497]
@attribute 0.6097 real [0.0383, 1.0]
@attribute 0.4943 real [0.0371, 0.9857]
@attribute 0.2744 real [0.0117, 0.9297]
@attribute 0.0510 real [0.036, 0.8995]
@attribute 0.2834 real [0.0056, 0.8246]
@attribute 0.2825 real [0.0, 0.7733]
@attribute 0.4256 real [0.0, 0.7762]
@attribute 0.2641 real [0.0, 0.7034]
@attribute 0.1386 real [0.0, 0.7292]
@attribute 0.1051 real [0.0, 0.5522]
@attribute 0.1343 real [0.0, 0.3339]
@attribute 0.0383 real [0.0, 0.1981]
@attribute 0.0324 real [0.0, 0.0825]
@attribute 0.0232 real [0.0, 0.1004]
@attribute 0.0027 real [8.0E-4, 0.0709]
@attribute 0.0065 real [5.0E-4, 0.039]
@attribute 0.0159 real [0.001, 0.0352]
@attribute 0.0072 real [6.0E-4, 0.0447]
@attribute 0.0167 real [4.0E-4, 0.0394]
@attribute 0.0180 real [3.0E-4, 0.0355]
@attribute 0.0084 real [3.0E-4, 0.044]
@attribute 0.0090 real [1.0E-4, 0.0364]
@attribute 0.0032 real [6.0E-4, 0.0439]
@attribute R {R, M}
@inputs 0.0200, 0.0371, 0.0428, 0.0207, 0.0954, 0.0986, 0.1539, 0.1601, 0.3109, 0.2111, 0.1609, 0.1582, 0.2238, 0.0645, 0.0660, 0.2273, 0.3100, 0.2999, 0.5078, 0.4797, 0.5783, 0.5071, 0.4328, 0.5550, 0.6711, 0.6415, 0.7104, 0.8080, 0.6791, 0.3857, 0.1307, 0.2604, 0.5121, 0.7547, 0.8537, 0.8507, 0.6692, 0.6097, 0.4943, 0.2744, 0.0510, 0.2834, 0.2825, 0.4256, 0.2641, 0.1386, 0.1051, 0.1343, 0.0383, 0.0324, 0.0232, 0.0027, 0.0065, 0.0159, 0.0072, 0.0167, 0.0180, 0.0084, 0.0090, 0.0032
@outputs R
@data
0.0519, 0.0548, 0.0842, 0.0319, 0.1158, 0.0922, 0.1027, 0.0613, 0.1465, 0.2838, 0.2802, 0.3086, 0.2657, 0.3801, 0.5626, 0.4376, 0.2617, 0.1199, 0.6676, 0.9402, 0.7832, 0.5352, 0.6809, 0.9174, 0.7613, 0.822, 0.8872, 0.6091, 0.2967, 0.1103, 0.1318, 0.0624, 0.099, 0.4006, 0.3666, 0.105, 0.1915, 0.393, 0.4288, 0.2546, 0.1151, 0.2196, 0.1879, 0.1437, 0.2146, 0.236, 0.1125, 0.0254, 0.0285, 0.0178, 0.0052, 0.0081, 0.012, 0.0045, 0.0121, 0.0097, 0.0085, 0.0047, 0.0048, 0.0053, R
0.0298, 0.0615, 0.065, 0.0921, 0.1615, 0.2294, 0.2176, 0.2033, 0.1459, 0.0852, 0.2476, 0.3645, 0.2777, 0.2826, 0.3237, 0.4335, 0.5638, 0.4555, 0.4348, 0.6433, 0.3932, 0.1989, 0.354, 0.9165, 0.9371, 0.462, 0.2771, 0.6613, 0.8028, 0.42, 0.5192, 0.6962, 0.5792, 0.8889, 0.7863, 0.7133, 0.7615, 0.4401, 0.3009, 0.3163, 0.2809, 0.2898, 0.0526, 0.1867, 0.1553, 0.1633, 0.1252, 0.0748, 0.0452, 0.0064, 0.0154, 0.0031, 0.0153, 0.0071, 0.0212, 0.0076, 0.0152, 0.0049, 0.02, 0.0073, R
0.024, 0.0218, 0.0324, 0.0569, 0.033, 0.0513, 0.0897, 0.0713, 0.0569, 0.0389, 0.1934, 0.2434, 0.2906, 0.2606, 0.3811, 0.4997, 0.3015, 0.3655, 0.6791, 0.7307, 0.5053, 0.4441, 0.6987, 0.8133, 0.7781, 0.8943, 0.8929, 0.8913, 0.861, 0.8063, 0.554, 0.2446, 0.3459, 0.1615, 0.2467, 0.5564, 0.4681, 0.0979, 0.1582, 0.0751, 0.3321, 0.3745, 0.2666, 0.1078, 0.1418, 0.1687, 0.0738, 0.0634, 0.0144, 0.0226, 0.0061, 0.0162, 0.0146, 0.0093, 0.0112, 0.0094, 0.0054, 0.0019, 0.0066, 0.0023, R
0.0206, 0.0132, 0.0533, 0.0569, 0.0647, 0.1432, 0.1344, 0.2041, 0.1571, 0.1573, 0.2327, 0.1785, 0.1507, 0.1916, 0.2061, 0.2307, 0.236, 0.1299, 0.3812, 0.5858, 0.4497, 0.4876, 1.0, 0.8675, 0.4718, 0.5341, 0.6197, 0.7143, 0.5605, 0.3728, 0.2481, 0.1921, 0.1386, 0.3325, 0.2883, 0.3228, 0.2607, 0.204, 0.2396, 0.1319, 0.0683, 0.0334, 0.0716, 0.0976, 0.0787, 0.0522, 0.05, 0.0231, 0.0221, 0.0144, 0.0307, 0.0386, 0.0147, 0.0018, 0.01, 0.0096, 0.0077, 0.018, 0.0109, 0.007, R
0.0257, 0.0447, 0.0388, 0.0239, 0.1315, 0.1323, 0.1608, 0.2145, 0.0847, 0.0561, 0.0891, 0.0861, 0.1531, 0.1524, 0.1849, 0.2871, 0.2009, 0.2748, 0.5017, 0.2172, 0.4978, 0.5265, 0.3647, 0.5768, 0.5161, 0.5715, 0.4006, 0.365, 0.6685, 0.8659, 0.8052, 0.4082, 0.3379, 0.5092, 0.6776, 0.7313, 0.6062, 0.704, 0.8849, 0.8979, 0.7751, 0.7247, 0.7733, 0.7762, 0.6009, 0.4514, 0.3096, 0.1859, 0.0956, 0.0206, 0.0206, 0.0096, 0.0153, 0.0096, 0.0131, 0.0198, 0.0025, 0.0199, 0.0255, 0.018, R
0.0408, 0.0653, 0.0397, 0.0604, 0.0496, 0.1817, 0.1178, 0.1024, 0.0583, 0.2176, 0.2459, 0.3332, 0.3087, 0.2613, 0.3232, 0.3731, 0.4203, 0.5364, 0.7062, 0.8196, 0.8835, 0.8299, 0.7609, 0.7605, 0.8367, 0.8905, 0.7652, 0.5897, 0.3037, 0.0823, 0.2787, 0.7241, 0.8032, 0.805, 0.7676, 0.7468, 0.6253, 0.173, 0.2916, 0.5003, 0.522, 0.4824, 0.4004, 0.3877, 0.1651, 0.0442, 0.0663, 0.0418, 0.0475, 0.0235, 0.0066, 0.0062, 0.0129, 0.0184, 0.0069, 0.0198, 0.0199, 0.0102, 0.007, 0.0055, R
0.0353, 0.0713, 0.0326, 0.0272, 0.037, 0.0792, 0.1083, 0.0687, 0.0298, 0.088, 0.1078, 0.0979, 0.225, 0.2819, 0.2099, 0.124, 0.1699, 0.0939, 0.1091, 0.141, 0.1268, 0.3151, 0.143, 0.2264, 0.5756, 0.7876, 0.7158, 0.5998, 0.5583, 0.6295, 0.7659, 0.894, 0.8436, 0.6807, 0.838, 1.0, 0.9497, 0.7866, 0.5647, 0.348, 0.2585, 0.2304, 0.2948, 0.3363, 0.3017, 0.2193, 0.1316, 0.1078, 0.0559, 0.0035, 0.0098, 0.0163, 0.0242, 0.0043, 0.0202, 0.0108, 0.0037, 0.0096, 0.0093, 0.0053, R
0.0086, 0.0215, 0.0242, 0.0445, 0.0667, 0.0771, 0.0499, 0.0906, 0.1229, 0.1185, 0.0775, 0.1101, 0.1042, 0.0853, 0.0456, 0.1304, 0.269, 0.2947, 0.3669, 0.4948, 0.6275, 0.8162, 0.9237, 0.871, 0.8052, 0.8756, 1.0, 0.9858, 0.9427, 0.8114, 0.6987, 0.681, 0.6591, 0.6954, 0.729, 0.668, 0.5917, 0.4899, 0.3439, 0.2366, 0.1716, 0.1013, 0.0766, 0.0845, 0.026, 0.0333, 0.0205, 0.0309, 0.0101, 0.0095, 0.0047, 0.0072, 0.0054, 0.0022, 0.0016, 0.0029, 0.0058, 0.005, 0.0024, 0.003, R
0.0036, 0.0078, 0.0092, 0.0387, 0.053, 0.1197, 0.1243, 0.1026, 0.1239, 0.0888, 0.0937, 0.1245, 0.1599, 0.1542, 0.1846, 0.1732, 0.1477, 0.1748, 0.1455, 0.1579, 0.2257, 0.1975, 0.3368, 0.5828, 0.8505, 1.0, 0.8457, 0.6624, 0.5564, 0.3925, 0.3233, 0.2054, 0.192, 0.2227, 0.3147, 0.2268, 0.0795, 0.0748, 0.1166, 0.1969, 0.2619, 0.2507, 0.1983, 0.0948, 0.0931, 0.0965, 0.0381, 0.0435, 0.0336, 0.0055, 0.0079, 0.0119, 0.0055, 0.0035, 0.0036, 4.0E-4, 0.0018, 0.0049, 0.0024, 0.0016, R
0.0188, 0.037, 0.0953, 0.0824, 0.0249, 0.0488, 0.1424, 0.1972, 0.1873, 0.1806, 0.2139, 0.1523, 0.1975, 0.4844, 0.7298, 0.7807, 0.7906, 0.6122, 0.42, 0.2807, 0.5148, 0.7569, 0.8596, 1.0, 0.8457, 0.6797, 0.6971, 0.5843, 0.4772, 0.5201, 0.4241, 0.1592, 0.1668, 0.0588, 0.3967, 0.7147, 0.7319, 0.3509, 0.0589, 0.269, 0.42, 0.3874, 0.244, 0.2, 0.2307, 0.1886, 0.196, 0.1701, 0.1366, 0.0398, 0.0143, 0.0093, 0.0033, 0.0113, 0.003, 0.0057, 0.009, 0.0057, 0.0068, 0.0024, R
